Flow Hash,Source IP,Destination IP,Number of Packets,Number of Packets (Scaled to 1000000),Source Port,Destination Port,Average Packet Size,Minimum Packet Size,Maximum Packet Size,Total Bytes,IAT Min,IAT Max,IAT Mean,Label
-7193661330669020607,5.189.238.149,37.60.229.253,17,1.7e-05,0.6103913939116503,0.0003356984817273213,0.10109803921568628,0.044,0.8226666666666667,1.7186666666666666e-05,0.0006509304046630859,0.08500997225443523,0.027387932936350504,malicious
5261200684546457472,37.60.229.253,5.189.238.149,12,1.2e-05,0.0003356984817273213,0.6103913939116503,0.14294444444444443,0.044,0.6946666666666667,1.7153333333333334e-05,0.0008400241533915202,0.08434300025304159,0.02583388719293806,malicious
7018461364456202929,95.58.221.186,37.60.229.253,28,2.8e-05,0.7618219272144655,0.0003356984817273213,0.11314285714285714,0.044,0.8226666666666667,3.168e-05,0.002351836363474528,3.2643897891044618,1.6038853135846909,malicious
6483087761644141393,37.60.229.253,95.58.221.186,13,1.3e-05,0.0003356984817273213,0.7618219272144655,0.13533333333333333,0.044,0.6946666666666667,1.7593333333333333e-05,0.002555223306020101,0.052121885617574054,0.014074396781432323,malicious
-7138983480729155904,5.160.2.182,37.60.229.253,9,9e-06,0.8270084687571526,0.0003356984817273213,0.06385185185185185,0.044,0.10533333333333333,5.746666666666667e-06,0.0012678821881612142,0.07165764172871908,0.019548962734363698,malicious
-5935458084025983896,37.60.229.253,5.160.2.182,10,1e-05,0.0003356984817273213,0.8270084687571526,0.09766666666666667,0.044,0.42,9.766666666666667e-06,0.001455104351043701,0.07037938038508097,0.017877118190129597,malicious
-548950441328285096,37.60.229.253,79.225.178.215,169,0.000169,0.0003356984817273213,0.5856412603952087,0.20424063116370808,0.044,1.02,0.0003451666666666667,0.0006094296773274739,0.03384965260823568,0.02107733532756979,benign
7440300630126154117,37.252.75.165,37.60.229.253,28,2.8e-05,0.6137788967727169,0.0003356984817273213,0.11295238095238094,0.044,0.8226666666666667,3.1626666666666667e-05,0.0011348764101664225,2.3188616037368774,1.1376640786727272,malicious
-5949470814729294251,37.60.229.253,37.252.75.165,13,1.3e-05,0.0003356984817273213,0.6137788967727169,0.13533333333333333,0.044,0.6946666666666667,1.7593333333333333e-05,0.001147929827372233,0.06824208895365397,0.013420157249157245,malicious
7054483727096141464,37.60.229.253,79.225.178.215,308,0.000308,0.0003356984817273213,0.5858854047455558,0.23333549783549784,0.044,1.0013333333333334,0.0007186733333333333,0.0006028572718302409,0.04522318840026855,0.029509413913214867,benign
123334777305221517,157.245.157.155,37.60.229.253,26,2.6e-05,0.7598687724116884,0.0003356984817273213,0.11846153846153845,0.044,0.8226666666666667,3.08e-05,0.003963669141133626,2.099853833516439,0.9564355640839307,malicious
4536592082905747493,37.60.229.253,157.245.157.155,13,1.3e-05,0.0003356984817273213,0.7598687724116884,0.13533333333333333,0.044,0.6946666666666667,1.7593333333333333e-05,0.004136788845062256,0.08074262936909994,0.02297926866091215,malicious
7678258875240620786,45.87.249.147,37.60.229.253,2,2e-06,0.892942702372778,0.4113527122911421,0.04,0.04,0.04,8e-07,0.000598752498626709,0.000598752498626709,0.000598752498626709,n/a
-7667931671880289464,37.60.229.253,45.87.249.147,67,6.7e-05,0.4113527122911421,0.892942702372778,0.036,0.036,0.036,2.412e-05,3.0352286815643312,200.372806930542,94.08568595807945,n/a
4389800705437475224,37.60.229.253,161.97.189.51,211,0.000211,0.5846341649500267,0.0008087281605249104,0.060849921011058454,0.03933333333333333,0.08133333333333333,0.00012839333333333332,4.4445196787516274e-05,202.19859800338745,120.54065703422914,n/a
6751330050420469655,161.97.189.51,37.60.229.253,2,2e-06,0.0008087281605249104,0.5846341649500267,0.074,0.058666666666666666,0.08933333333333333,1.48e-06,0.00018996795018513997,0.00018996795018513997,0.00018996795018513997,n/a
-6154498628000694317,37.60.229.253,213.160.75.98,275,0.000275,0.5172808422980087,0.006759746700236515,0.09935999999999999,0.044,1.0726666666666667,0.00027324,0.00022826592127482095,195.63203763167064,77.46226898843591,n/a
-8366601714567820329,213.160.75.98,37.60.229.253,44,4.4e-05,0.006759746700236515,0.5172808422980087,1.740378787878788,0.044,5.636,0.0007657666666666666,0.0005416075388590494,0.16866121292114258,0.01303937751235384,n/a
7944004526784660156,37.60.229.253,79.225.178.215,31,3.1e-05,0.0003356984817273213,0.6405432211795223,0.16866666666666666,0.044,0.996,5.228666666666667e-05,0.0006242235501607259,0.021045804023742676,0.010603056928162933,benign
-4628108667715589562,202.65.150.156,37.60.229.253,2,2e-06,0.7725032425421531,0.0003356984817273213,0.042,0.04,0.044,8.4e-07,0.0025310317675272622,0.0025310317675272622,0.0025310317675272622,unknown
-256558054639529607,37.60.229.253,202.65.150.156,11,1.1e-05,0.0003356984817273213,0.7725032425421531,0.04945454545454546,0.044,0.05,5.44e-06,0.0027198076248168947,1.9957281748453777,0.36458721449880893,unknown
-1789329337470633726,172.110.223.179,37.60.229.253,6,6e-06,0.15344472419317923,0.0772106507972839,0.26855555555555555,0.2633333333333333,0.272,1.6113333333333334e-05,27.225460211435955,184.20483895540238,94.32273869249555,n/a
2119234087688275158,37.60.229.253,79.225.178.215,32,3.2e-05,0.0003356984817273213,0.6406042572671091,0.16477083333333334,0.044,0.996,5.2726666666666664e-05,0.0005839149157206218,0.01733344793319702,0.009832218165198962,benign
8213994180644511120,34.26.152.184,37.60.229.253,26,2.6e-05,0.4366216525520714,0.0003356984817273213,0.11846153846153845,0.044,0.8226666666666667,3.08e-05,0.0017214496930440268,3.333298663298289,1.5420568171219948,malicious
6279977284153642698,37.60.229.253,34.26.152.184,13,1.3e-05,0.0003356984817273213,0.4366216525520714,0.13533333333333333,0.044,0.6946666666666667,1.7593333333333333e-05,0.0017250458399454753,0.05013178586959839,0.01213008409891373,malicious
